"Z","M","Y","x1","x2","x3","x4","x5","x6","x7","R_m","R_y"
1,1,19387.4161925171,"1","2","1","1","0","3","2",1,1
0,NA,NA,"1","0","2","1","1","1","0",0,0
0,0,0,"0","0","1","0","0","1","5",1,1
1,1,21894.310444043,"0","1","1","0","0","1","2",1,1
1,1,28962.8404958496,"1","1","1","1","0","3","0",1,1
1,1,14509.0571746948,"0","0","1","0","0","1","0",1,1
1,1,27645.5401694824,"0","0","0","0","1","1","2",1,1
0,1,36929.9972513672,"1","2","3","0","1","1","2",1,1
0,NA,NA,"0","1","3","0","0","1","0",0,0
0,1,20023.2883966553,"0","0","2","0","0","1","5",1,1
0,0,24103.9346846924,"0","2","1","0","0","1","4",1,1
1,1,55600.4643358887,"0","0","0","0","0","1","0",1,1
1,1,26052.6234429932,"0","2","0","0","1","1","2",1,1
0,1,21481.3675305176,"1","1","3","0","0","1","0",1,1
1,NA,55548.3282561035,"0","0","1","0","0","1","1",0,1
1,1,52059.3417760254,"0","1","1","0","1","3","2",1,1
1,0,0,"1","0","1","1","0","1","2",1,1
1,0,16122.1849285034,"0","1","1","1","1","1","0",1,1
0,1,6681.47501002808,"0","2","1","1","2","3","3",1,1
1,1,53761.6991970703,"0","1","0","0","0","3","2",1,1
1,1,12120.5922127075,"0","2","1","0","1","3","1",1,1
0,0,1781.72659710846,"1","0","0","0","0","1","0",1,1
0,0,0,"0","1","1","0","0","1","0",1,1
0,1,17118.6014533447,"1","1","1","0","0","3","2",1,1
0,0,57843.7125341309,"0","1","0","0","1","1","5",1,1
1,NA,NA,"0","2","1","0","0","1","3",0,0
0,1,28935.2394788818,"0","0","2","0","0","1","1",1,1
1,0,9237.50439631348,"1","0","2","0","0","1","2",1,1
1,1,0,"0","0","1","0","0","1","0",1,1
1,0,22035.6984799072,"1","2","2","1","0","1","5",1,1
1,NA,NA,"0","2","1","1","0","3","2",0,0
0,0,3436.74669526062,"0","1","1","0","0","1","0",1,1
0,NA,NA,"1","1","1","1","1","3","4",0,0
0,1,0,"0","2","1","0","0","2","0",1,1
0,1,NA,"1","1","1","1","0","1","0",1,0
1,1,103187.25757793,"0","1","1","0","1","3","2",1,1
